"STUDYID","DOMAIN","RDOMAIN","USUBJID","POOLID","COSEQ","IDVAR","IDVARVAL","COREF","COVAL","COEVAL","CODTC","CODY"
"GLP003","CO","CL","107001423",NA,31,"CLSEQ","638",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,32,"CLSEQ","639",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,33,"CLSEQ","640",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,34,"CLSEQ","641",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,35,"CLSEQ","642",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,36,"CLSEQ","643",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,37,"CLSEQ","644",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,38,"CLSEQ","645",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,39,"CLSEQ","646",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,40,"CLSEQ","647",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,41,"CLSEQ","648",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,42,"CLSEQ","649",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,43,"CLSEQ","650",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,44,"CLSEQ","651",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,45,"CLSEQ","652",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,46,"CLSEQ","653",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,47,"CLSEQ","654",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,48,"CLSEQ","655",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,49,"CLSEQ","656",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,50,"CLSEQ","657",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,51,"CLSEQ","658",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001529",NA,52,"CLSEQ","694",NA,"Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001528",NA,53,"CLSEQ","728",NA,"Haircoat stained yellow on perigenital area.",NA,NA,NA
"GLP003","CO","CL","107001528",NA,54,"CLSEQ","729",NA,"Haircoat stained yellow on perigenital area.",NA,NA,NA
"GLP003","CO","CL","107001576",NA,55,"CLSEQ","768",NA,"Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001500",NA,56,"CLSEQ","831",NA,"Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001500",NA,57,"CLSEQ","832",NA,"Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001500",NA,58,"CLSEQ","833",NA,"Haircoat stained red on head. Red substance on both ears.",NA,NA,NA
"GLP003","CO","CL","107001500",NA,59,"CLSEQ","834",NA,"Haircoat stained red on head. Red substance on both ears.",NA,NA,NA
"GLP003","CO","CL","107001500",NA,60,"CLSEQ","835",NA,"Haircoat stained red on head. Red substance on both ears.",NA,NA,NA
"GLP003","CO","CL","107001500",NA,61,"CLSEQ","836",NA,"Haircoat stained red on head. Red substance on both ears.",NA,NA,NA
"GLP003","CO","CL","107001500",NA,62,"CLSEQ","838",NA,"Haircoat stained red on head. Red substance on both ears.",NA,NA,NA
"GLP003","CO","CL","107001500",NA,63,"CLSEQ","839",NA,"Haircoat stained red on head. Red substance on both ears.",NA,NA,NA
"GLP003","CO","CL","107001500",NA,64,"CLSEQ","841",NA,"Haircoat stained red on head. Red substance on both ears.",NA,NA,NA
"GLP003","CO","CL","107001500",NA,65,"CLSEQ","842",NA,"Haircoat stained red on head. Red substance on both ears.",NA,NA,NA
"GLP003","CO","CL","107001500",NA,66,"CLSEQ","843",NA,"Haircoat stained red on head. Red substance on both ears.",NA,NA,NA
"GLP003","CO","CL","107001500",NA,67,"CLSEQ","844",NA,"Haircoat stained red on head. Red substance on both ears.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,68,"CLSEQ","998",NA,"red discoloration on outside of pinnae bilateral",NA,NA,NA
"GLP003","CO","CL","107001537",NA,69,"CLSEQ","999",NA,"red discoloration on outside of pinnae bilateral",NA,NA,NA
"GLP003","CO","CL","107001537",NA,70,"CLSEQ","1000",NA,"red discoloration on outside of pinnae bilateral",NA,NA,NA
"GLP003","CO","CL","107001537",NA,71,"CLSEQ","1002",NA,"Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,72,"CLSEQ","1004",NA,"Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,73,"CLSEQ","1005",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,74,"CLSEQ","1006",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,75,"CLSEQ","1007",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,76,"CLSEQ","1008",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,77,"CLSEQ","1009",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,78,"CLSEQ","1010",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,79,"CLSEQ","1011",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,80,"CLSEQ","1012",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,81,"CLSEQ","1014",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,82,"CLSEQ","1015",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,83,"CLSEQ","1016",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,84,"CLSEQ","1017",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,85,"CLSEQ","1018",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,86,"CLSEQ","1019",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,87,"CLSEQ","1020",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,88,"CLSEQ","1021",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,89,"CLSEQ","1022",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,90,"CLSEQ","1023",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,91,"CLSEQ","1024",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,92,"CLSEQ","1025",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,93,"CLSEQ","1026",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,94,"CLSEQ","1027",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,95,"CLSEQ","1028",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,96,"CLSEQ","1029",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,97,"CLSEQ","1030",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,98,"CLSEQ","1031",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,99,"CLSEQ","1032",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,100,"CLSEQ","1033",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,101,"CLSEQ","1034",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,102,"CLSEQ","1035",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,103,"CLSEQ","1036",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,104,"CLSEQ","1037",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,105,"CLSEQ","1038",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,106,"CLSEQ","1039",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,107,"CLSEQ","1040",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,108,"CLSEQ","1041",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,109,"CLSEQ","1042",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,110,"CLSEQ","1043",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,111,"CLSEQ","1044",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,112,"CLSEQ","1045",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,113,"CLSEQ","1047",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001537",NA,114,"CLSEQ","1048",NA,"Red discoloration on outside of ears. Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001538",NA,115,"CLSEQ","1235",NA,"Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001538",NA,116,"CLSEQ","1236",NA,"Haircoat on neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001538",NA,117,"CLSEQ","1237",NA,"Haircoat on neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001538",NA,118,"CLSEQ","1238",NA,"Haircoat on neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001538",NA,119,"CLSEQ","1239",NA,"Haircoat on neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001538",NA,120,"CLSEQ","1240",NA,"Haircoat on neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001538",NA,121,"CLSEQ","1241",NA,"Haircoat on neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001538",NA,122,"CLSEQ","1242",NA,"Haircoat on neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001538",NA,123,"CLSEQ","1243",NA,"Haircoat on neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001538",NA,124,"CLSEQ","1244",NA,"Haircoat on neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001538",NA,125,"CLSEQ","1245",NA,"Haircoat on neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001581",NA,126,"CLSEQ","1294",NA,"Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001469",NA,127,"CLSEQ","1326",NA,"Haircoat stained red around mouth.",NA,NA,NA
"GLP003","CO","CL","107001469",NA,128,"CLSEQ","1327",NA,"Haircoat stained red around mouth.",NA,NA,NA
"GLP003","CO","CL","107001469",NA,129,"CLSEQ","1328",NA,"Haircoat stained red around mouth.",NA,NA,NA
"GLP003","CO","CL","107001469",NA,130,"CLSEQ","1329",NA,"Haircoat stained red around mouth.",NA,NA,NA
"GLP003","CO","CL","107001368",NA,131,"CLSEQ","1531",NA,"Animal unable to use hindlimbs to move, animal uses forelimbs only to move around cage.",NA,NA,NA
"GLP003","CO","CL","107001368",NA,132,"CLSEQ","1532",NA,"Animal unable to use hindlimbs to move, animal uses forelimbs only to move around cage.",NA,NA,NA
"GLP003","CO","CL","107001368",NA,133,"CLSEQ","1533",NA,"Animal unable to use hindlimbs to move, animal uses forelimbs only to move around cage.",NA,NA,NA
"GLP003","CO","CL","107001368",NA,134,"CLSEQ","1534",NA,"Unscheduled euthanasia with necropsy.",NA,NA,NA
"GLP003","CO","CL","107001473",NA,135,"CLSEQ","1888",NA,"Haircoat on both shoulders stained red.",NA,NA,NA
"GLP003","CO","CL","107001473",NA,136,"CLSEQ","1889",NA,"Haircoat on both shoulders stained red.",NA,NA,NA
"GLP003","CO","CL","107001473",NA,137,"CLSEQ","1890",NA,"Haircoat on both shoulders stained red.",NA,NA,NA
"GLP003","CO","CL","107001473",NA,138,"CLSEQ","1891",NA,"Haircoat on both shoulders stained red.",NA,NA,NA
"GLP003","CO","CL","107001525",NA,139,"CLSEQ","1924",NA,"Haircoat stained red on neck.",NA,NA,NA
"GLP003","CO","CL","107001525",NA,140,"CLSEQ","1925",NA,"Haircoat stained red on neck.",NA,NA,NA
"GLP003","CO","CL","107001629",NA,141,"CLSEQ","2038",NA,"Possible dosing accident. Poor prognosis. Euthanasia recommended.",NA,NA,NA
"GLP003","CO","CL","107001629",NA,142,"CLSEQ","2039",NA,"Possible dosing accident. Poor prognosis. Euthanasia recommended.",NA,NA,NA
"GLP003","CO","CL","107001629",NA,143,"CLSEQ","2040",NA,"Possible dosing accident. Poor prognosis. Euthanasia recommended.",NA,NA,NA
"GLP003","CO","CL","107001629",NA,144,"CLSEQ","2041",NA,"Possible dosing accident. Poor prognosis. Euthanasia recommended.",NA,NA,NA
"GLP003","CO","CL","107001629",NA,145,"CLSEQ","2048",NA,"Unscheduled euthanasia with necropsy.",NA,NA,NA
"GLP003","CO","CL","107001641",NA,146,"CLSEQ","2150",NA,"Head is stained red.",NA,NA,NA
"GLP003","CO","CL","107001641",NA,147,"CLSEQ","2151",NA,"Head is stained red.",NA,NA,NA
"GLP003","CO","CL","107001641",NA,148,"CLSEQ","2152",NA,"Head is stained red.",NA,NA,NA
"GLP003","CO","CL","107001641",NA,149,"CLSEQ","2153",NA,"Head is stained red.",NA,NA,NA
"GLP003","CO","CL","107001561",NA,150,"CLSEQ","2313",NA,"torn nail right forefoot, first digit.",NA,NA,NA
"GLP003","CO","CL","107001561",NA,151,"CLSEQ","2314",NA,"torn nail right forefoot, first digit.",NA,NA,NA
"GLP003","CO","CL","107001559",NA,152,"CLSEQ","2359",NA,"Blood in feces. Fair prognosis. Re-examine as needed if condition changes.",NA,NA,NA
"GLP003","CO","CL","107001559",NA,153,"CLSEQ","2360",NA,"Blood in feces (Seracult test performed).",NA,NA,NA
"GLP003","CO","CL","107001559",NA,154,"CLSEQ","2361",NA,"Blood in feces (Seracult test performed).",NA,NA,NA
"GLP003","CO","CL","107001559",NA,155,"CLSEQ","2362",NA,"Animal appears pale, whole body. Blood in feces confirmed by seracult test perfomed by technician.",NA,NA,NA
"GLP003","CO","CL","107001559",NA,156,"CLSEQ","2363",NA,"Animal appears pale, whole body. Blood in feces confirmed by seracult test perfomed by technician.",NA,NA,NA
"GLP003","CO","CL","107001559",NA,157,"CLSEQ","2364",NA,"Animal appears pale, whole body. Blood in feces confirmed by seracult test perfomed by technician.",NA,NA,NA
"GLP003","CO","CL","107001559",NA,158,"CLSEQ","2365",NA,"Animal appears pale.",NA,NA,NA
"GLP003","CO","CL","107001559",NA,159,"CLSEQ","2366",NA,"Animal appears pale.",NA,NA,NA
"GLP003","CO","CL","107001559",NA,160,"CLSEQ","2367",NA,"Animal appears pale.",NA,NA,NA
"GLP003","CO","CL","107001609",NA,161,"CLSEQ","2405",NA,"Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001609",NA,162,"CLSEQ","2406",NA,"Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001609",NA,163,"CLSEQ","2407",NA,"Head stained red.",NA,NA,NA
"GLP003","CO","CL","107001609",NA,164,"CLSEQ","2408",NA,"Head stained red.",NA,NA,NA
"GLP003","CO","CL","107001609",NA,165,"CLSEQ","2409",NA,"Head stained red.",NA,NA,NA
"GLP003","CO","CL","107001609",NA,166,"CLSEQ","2410",NA,"Head stained red.",NA,NA,NA
"GLP003","CO","CL","107001609",NA,167,"CLSEQ","2411",NA,"Head stained red.",NA,NA,NA
"GLP003","CO","CL","107001609",NA,168,"CLSEQ","2412",NA,"Head stained red.",NA,NA,NA
"GLP003","CO","CL","107001609",NA,169,"CLSEQ","2413",NA,"Head stained red.",NA,NA,NA
"GLP003","CO","CL","107001609",NA,170,"CLSEQ","2414",NA,"Head stained red.",NA,NA,NA
"GLP003","CO","CL","107001609",NA,171,"CLSEQ","2415",NA,"Head stained red.",NA,NA,NA
"GLP003","CO","CL","107001609",NA,172,"CLSEQ","2416",NA,"Head stained red.",NA,NA,NA
"GLP003","CO","CL","107001433",NA,173,"CLSEQ","2738",NA,"Negative for blood on Seracult.",NA,NA,NA
"GLP003","CO","CL","107001433",NA,174,"CLSEQ","2739",NA,"Negative for blood on Seracult.",NA,NA,NA
"GLP003","CO","CL","107001433",NA,175,"CLSEQ","2740",NA,"Negative for blood on Seracult.",NA,NA,NA
"GLP003","CO","CL","107001386",NA,176,"CLSEQ","2894",NA,"Abrasion on right forelimb.",NA,NA,NA
"GLP003","CO","CL","107001386",NA,177,"CLSEQ","2895",NA,"Abrasion on right forelimb.",NA,NA,NA
"GLP003","CO","CL","107001386",NA,178,"CLSEQ","2896",NA,"Abrasion on right forelimb.",NA,NA,NA
"GLP003","CO","CL","107001386",NA,179,"CLSEQ","2897",NA,"Abrasion on right forelimb.",NA,NA,NA
"GLP003","CO","CL","107001386",NA,180,"CLSEQ","2898",NA,"Abrasion on right forelimb.",NA,NA,NA
"GLP003","CO","CL","107001386",NA,181,"CLSEQ","2899",NA,"Abrasion on right forelimb.",NA,NA,NA
"GLP003","CO","CL","107001386",NA,182,"CLSEQ","2900",NA,"Abrasion on right forelimb.",NA,NA,NA
"GLP003","CO","CL","107001386",NA,183,"CLSEQ","2901",NA,"Abrasion on right forelimb.",NA,NA,NA
"GLP003","CO","CL","107001386",NA,184,"CLSEQ","2902",NA,"Abrasion on right forelimb.",NA,NA,NA
"GLP003","CO","CL","107001386",NA,185,"CLSEQ","2903",NA,"Abrasion on right forelimb.",NA,NA,NA
"GLP003","CO","CL","107001386",NA,186,"CLSEQ","2904",NA,"Abrasion on right and left forelimb.",NA,NA,NA
"GLP003","CO","CL","107001386",NA,187,"CLSEQ","2905",NA,"Abrasion on right and left forelimb.",NA,NA,NA
"GLP003","CO","CL","107001386",NA,188,"CLSEQ","2906",NA,"Abrasion on right and left forelimb.",NA,NA,NA
"GLP003","CO","CL","107001386",NA,189,"CLSEQ","2907",NA,"Abrasion on left forelimb.",NA,NA,NA
"GLP003","CO","CL","107001386",NA,190,"CLSEQ","2908",NA,"Abrasion on left forelimb.",NA,NA,NA
"GLP003","CO","CL","107001386",NA,191,"CLSEQ","2909",NA,"Abrasion on left forelimb.",NA,NA,NA
"GLP003","CO","CL","107001386",NA,192,"CLSEQ","2910",NA,"Abrasion on left forelimb.",NA,NA,NA
"GLP003","CO","CL","107001570",NA,193,"CLSEQ","3175",NA,"Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001570",NA,194,"CLSEQ","3176",NA,"Haircoat stained red on head.",NA,NA,NA
"GLP003","CO","CL","107001540",NA,195,"CLSEQ","3319",NA,"Haircoat stained red on neck (dorsal).",NA,NA,NA
"GLP003","CO","CL","107001540",NA,196,"CLSEQ","3320",NA,"Haircoat stained red on neck (dorsal).",NA,NA,NA
"GLP003","CO","CL","107001540",NA,197,"CLSEQ","3321",NA,"Haircoat stained red on neck (dorsal).",NA,NA,NA
"GLP003","CO","CL","107001540",NA,198,"CLSEQ","3322",NA,"Haircoat stained red on neck (dorsal).",NA,NA,NA
"GLP003","CO","CL","107001540",NA,199,"CLSEQ","3323",NA,"Haircoat stained red on neck (dorsal).",NA,NA,NA
"GLP003","CO","CL","107001540",NA,200,"CLSEQ","3324",NA,"Haircoat stained red on neck (dorsal).",NA,NA,NA
"GLP003","CO","CL","107001540",NA,201,"CLSEQ","3325",NA,"Haircoat stained red on neck (dorsal).",NA,NA,NA
"GLP003","CO","CL","107001540",NA,202,"CLSEQ","3326",NA,"Haircoat stained red on neck (dorsal).",NA,NA,NA
"GLP003","CO","CL","107001540",NA,203,"CLSEQ","3328",NA,"Haircoat stained red on neck (dorsal).",NA,NA,NA
"GLP003","CO","CL","107001540",NA,204,"CLSEQ","3330",NA,"Haircoat stained red on neck (dorsal).",NA,NA,NA
"GLP003","CO","CL","107001540",NA,205,"CLSEQ","3331",NA,"Haircoat stained red on neck (dorsal).",NA,NA,NA
"GLP003","CO","CL","107001631",NA,206,"CLSEQ","3392",NA,"Haircoat on head stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,207,"CLSEQ","3393",NA,"Haircoat on head stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,208,"CLSEQ","3394",NA,"Haircoat on head stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,209,"CLSEQ","3395",NA,"Haircoat on head stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,210,"CLSEQ","3396",NA,"Haircoat on head stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,211,"CLSEQ","3397",NA,"Haircoat on head stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,212,"CLSEQ","3398",NA,"Haircoat on head stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,213,"CLSEQ","3399",NA,"Haircoat on head stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,214,"CLSEQ","3400",NA,"Haircoat on head and neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,215,"CLSEQ","3401",NA,"Haircoat on head and neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,216,"CLSEQ","3402",NA,"Haircoat on head and neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,217,"CLSEQ","3403",NA,"Haircoat on head and neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,218,"CLSEQ","3404",NA,"Haircoat on head and neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,219,"CLSEQ","3405",NA,"Haircoat on head and neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,220,"CLSEQ","3406",NA,"Haircoat on neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,221,"CLSEQ","3407",NA,"Haircoat on neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,222,"CLSEQ","3408",NA,"Haircoat on neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,223,"CLSEQ","3409",NA,"Haircoat on neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,224,"CLSEQ","3410",NA,"Haircoat on neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,225,"CLSEQ","3411",NA,"Haircoat on neck is stained red.",NA,NA,NA
"GLP003","CO","CL","107001631",NA,226,"CLSEQ","3412",NA,"Haircoat on neck is stained red.",NA,NA,NA
