"STUDYID","DOMAIN","USUBJID","POOLID","CLSEQ","CLGRPID","CLSPID","CLTESTCD","CLTEST","CLCAT","CLSCAT","CLBODSYS","CLORRES","CLSTRESC","CLRESCAT","CLSTAT","CLREASND","CLLOC","CLEVAL","CLSEV","CLEXCLFL","CLREASEX","VISITDY","CLDTC","CLDY","CLTPT","CLTPTNUM","CLELTM","CLTPTREF","CLRFTDTC"
"GLP003","CL","107001493",NA,25,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,25,"2007-07-06T11:26:37",25,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,26,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,26,"2007-07-07T12:21:24",26,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,27,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,27,"2007-07-08T12:52:42",27,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,28,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,28,"2007-07-09T12:02:10",28,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,29,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"Feces, unformed","Feces, unformed",NA,NA,NA,NA,NA,NA,NA,NA,2,"2007-06-13T07:05:00",2,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,30,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"Feces, unformed","Feces, unformed",NA,NA,NA,NA,NA,NA,NA,NA,22,"2007-07-03T07:09:00",22,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,31,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"Feces, unformed","Feces, unformed",NA,NA,NA,NA,NA,NA,NA,NA,23,"2007-07-04T06:58:00",23,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,32,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"Feces, unformed","Feces, unformed",NA,NA,NA,NA,NA,NA,NA,NA,24,"2007-07-05T06:59:00",24,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,33,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"Feces, unformed","Feces, unformed",NA,NA,NA,NA,NA,NA,NA,NA,28,"2007-07-09T05:58:00",28,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,34,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"End-of-Dose Necropsy","End-of-Dose Necropsy",NA,NA,NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:32:14",29,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,35,NA,NA,"EOBS","Ophthalmologic Examinations","OPHTHALMOLOGY",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,-5,"2007-06-07T15:34:11",-5,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,36,NA,NA,"EOBS","Ophthalmologic Examinations","OPHTHALMOLOGY",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,22,"2007-07-03T09:37:59",22,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,37,NA,NA,"VOBS","Veterinary Examinations","PHYSICAL EXAM",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,-5,"2007-06-07T08:15:15",-5,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,38,NA,NA,"VOBS","Veterinary Examinations","PHYSICAL EXAM",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,22,"2007-07-03T10:33:23",22,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,39,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,1,"2007-06-12T12:31:14",1,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,40,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,3,"2007-06-14T15:22:22",3,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,41,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,4,"2007-06-15T11:07:43",4,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,42,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,5,"2007-06-16T15:18:34",5,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,43,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,6,"2007-06-17T10:32:50",6,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,44,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,7,"2007-06-18T09:53:42",7,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,45,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,8,"2007-06-19T15:05:01",8,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,46,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,9,"2007-06-20T11:10:10",9,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,47,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,10,"2007-06-21T10:33:34",10,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,48,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,11,"2007-06-22T11:08:18",11,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,49,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,12,"2007-06-23T15:00:19",12,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,50,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,13,"2007-06-24T14:12:47",13,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,51,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,14,"2007-06-25T14:36:22",14,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,52,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,15,"2007-06-26T13:04:00",15,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,53,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,16,"2007-06-27T11:22:48",16,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,54,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,17,"2007-06-28T13:48:12",17,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,55,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,18,"2007-06-29T13:13:09",18,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,56,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,19,"2007-06-30T13:30:41",19,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,57,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,20,"2007-07-01T11:24:17",20,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,58,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,21,"2007-07-02T12:30:50",21,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,59,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,22,"2007-07-03T07:59:11",22,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,60,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,23,"2007-07-04T12:50:24",23,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,61,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,24,"2007-07-05T14:24:15",24,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,62,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,25,"2007-07-06T11:26:38",25,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,63,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,26,"2007-07-07T12:21:26",26,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,64,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,27,"2007-07-08T12:52:44",27,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,65,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,28,"2007-07-09T12:02:12",28,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,66,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"Feces, unformed","Feces, unformed",NA,NA,NA,NA,NA,NA,NA,NA,2,"2007-06-13T07:05:00",2,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,67,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"Chromorhinorrhea","Chromorhinorrhea",NA,NA,NA,NA,NA,NA,NA,NA,2,"2007-06-13T14:46:45",2,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,68,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"Feces, unformed","Feces, unformed",NA,NA,NA,NA,NA,NA,NA,NA,4,"2007-06-15T07:09:00",4,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,69,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"Feces, unformed","Feces, unformed",NA,NA,NA,NA,NA,NA,NA,NA,8,"2007-06-19T07:28:00",8,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,70,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"Feces, unformed","Feces, unformed",NA,NA,NA,NA,NA,NA,NA,NA,10,"2007-06-21T07:30:00",10,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,71,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"Feces, unformed","Feces, unformed",NA,NA,NA,NA,NA,NA,NA,NA,14,"2007-06-25T07:04:00",14,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,72,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"Feces, unformed","Feces, unformed",NA,NA,NA,NA,NA,NA,NA,NA,24,"2007-07-05T06:59:00",24,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,73,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"End-of-Dose Necropsy","End-of-Dose Necropsy",NA,NA,NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:32:21",29,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,74,NA,NA,"EOBS","Ophthalmologic Examinations","OPHTHALMOLOGY",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,-5,"2007-06-07T15:34:11",-5,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,75,NA,NA,"EOBS","Ophthalmologic Examinations","OPHTHALMOLOGY",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,22,"2007-07-03T09:37:59",22,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,76,NA,NA,"VOBS","Veterinary Examinations","PHYSICAL EXAM",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,-5,"2007-06-07T08:15:15",-5,NA,NA,NA,NA,NA
"GLP003","CL","107001427",NA,77,NA,NA,"VOBS","Veterinary Examinations","PHYSICAL EXAM",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,22,"2007-07-03T10:33:23",22,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,78,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,1,"2007-06-12T12:31:16",1,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,79,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,2,"2007-06-13T14:46:50",2,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,80,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,3,"2007-06-14T15:22:30",3,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,81,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,4,"2007-06-15T11:07:44",4,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,82,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,5,"2007-06-16T15:18:35",5,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,83,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,6,"2007-06-17T10:32:51",6,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,84,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,7,"2007-06-18T09:53:44",7,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,85,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,8,"2007-06-19T15:05:06",8,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,86,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,9,"2007-06-20T11:10:12",9,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,87,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,10,"2007-06-21T10:33:35",10,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,88,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,11,"2007-06-22T11:08:31",11,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,89,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,12,"2007-06-23T15:00:23",12,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,90,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,13,"2007-06-24T14:12:49",13,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,91,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,14,"2007-06-25T14:36:24",14,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,92,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,15,"2007-06-26T13:04:02",15,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,93,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,16,"2007-06-27T11:22:50",16,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,94,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,17,"2007-06-28T13:48:13",17,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,95,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,18,"2007-06-29T13:13:10",18,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,96,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,19,"2007-06-30T13:30:43",19,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,97,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,20,"2007-07-01T11:24:18",20,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,98,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,21,"2007-07-02T12:30:52",21,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,99,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,22,"2007-07-03T07:59:12",22,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,100,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,23,"2007-07-04T12:50:25",23,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,101,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,24,"2007-07-05T14:24:17",24,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,102,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,25,"2007-07-06T11:26:40",25,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,103,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,26,"2007-07-07T12:21:27",26,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,104,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,27,"2007-07-08T12:52:45",27,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,105,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,28,"2007-07-09T12:02:15",28,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,106,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"Feces, unformed","Feces, unformed",NA,NA,NA,NA,NA,NA,NA,NA,3,"2007-06-14T06:09:00",3,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,107,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"Feces, unformed","Feces, unformed",NA,NA,NA,NA,NA,NA,NA,NA,16,"2007-06-27T06:55:00",16,NA,NA,NA,NA,NA
"GLP003","CL","107001458",NA,108,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"Feces, unformed","Feces, unformed",NA,NA,NA,NA,NA,NA,NA,NA,17,"2007-06-28T07:05:00",17,NA,NA,NA,NA,NA
